title,date,victim,malware_names,threat,impacts,location,data_source_link_url
System Outage at Miltenyi Biotec after Ransomware Attack,11/03/2020,Myltenyi,,Mount Locker,IT,United States,https://icsstrive.com/incident/ransomware-attack-at-miltenyi-biotec-impaired-it-systems/
Canadian Stelco Temporarily Suspended Operations,10/25/2020,Stelco,,,IT,Canada,https://icsstrive.com/incident/canadian-stelco-temporarily-suspended-operations/
Ransomware Shuts Furniture Maker,10/22/2020,Steelcase,Ryuk ransomware,Ryuk ransomware gang,OT,United States,https://icsstrive.com/incident/ransomware-shuts-furniture-maker/
Covid vaccine-maker Dr Reddy Laboratories hit by cyber-attack,10/22/2020,Dr Reddy’s Laboratories,,,IT,"Brazil, India, Russia, United Kingdom, United States",https://icsstrive.com/incident/covid-vaccine-maker-dr-reddy-laboratories-hit-by-cyber-attack/
Energy company loses 5TB of data from encryption of ransomeware,10/19/2020,Enel Group,Mailto,Netwalker Group,,Europe,https://icsstrive.com/incident/energy-company-loses-5tb-of-data-from-encryption-of-ransomeware/
Montreal’s Transit Service Hit by RansomExx Ransomware,10/19/2020,Société de transport de Montréal (STM),RansomEXX,,IT,Canada,https://icsstrive.com/incident/montreals-transit-service-hit-by-ransomexx-ransomware/
Acuity Brands Data Purloined,10/06/2020,Acuity Brands,,,IT,United States,https://icsstrive.com/incident/acuity-brands-data-purloined/
Personal Information stolen and extortion attempt to Brasken facility,10/03/2020,Braskem,REvil,,,Brazil,https://icsstrive.com/incident/personal-information-stolen-and-extortion-attempt-to-brasken-facility/
Global Transportation company has multiple servers and intranet taken down by attack,10/01/2020,International Maritime Organization,,,,Global,https://icsstrive.com/incident/global-transportation-company-has-multiple-servers-and-intranet-taken-down-by-attack/
CMA CGM SA shutdown after attack with ransomeware,09/28/2020,CMA CGM,Ragnar Locker,,,Asia-Pacific,https://icsstrive.com/incident/cma-cgm-sa-shutdown-after-attack-with-ransomeware/
Ransomware Attack Disrupts Tyler Technologies’ Operations.,09/23/2020,Tyler Technologies,RansomEXX,,IT,United States,https://icsstrive.com/incident/6986/
Ransomware Attack Disrupting Operations,09/21/2020,IPG Photonics,RansomEXX,,,United States,https://icsstrive.com/incident/ransomeware-attack-disrupting-operations/
Ransomware Attack Affects Worldwide Operations of Italian Eyewear Giant Luxottica,09/18/2020,Luxottica Group S.p.A.,Nefilim Ransomware,,IT,"China, Italy",https://icsstrive.com/incident/ransomware-attack-affects-worldwide-operations-of-italian-eyewear-giant-luxoticca/
Bluescope Shutdown of Operations,09/15/2020,Bluescope,,,IT,"Australia, United States",https://icsstrive.com/incident/bluescope-event/
Patient Dies After Hackers Hit ‘Wrong’ Hospital in Germany,09/10/2020,University Hospital Düsseldorf (UHD),Ransomware – unknown,,IT,Germany,https://icsstrive.com/incident/a-patient-died-after-hackers-hit-wrong-hospital-in-germany/
Cyberattack at Israeli Tower Semiconductor Manufacturer,09/06/2020,Tower Semiconductor,,,IT,Israel,https://icsstrive.com/incident/cyberattack-at-israeli-tower-semiconductor-manufacturer/
Spear-phishing attacks on Middle Eastern Oil & Gas companies,09/01/2020,Unknown Oil and Gas companies in the Middle East,"Matriex, Masslogger, Formbook, Agent Tesla",,,Middle East,https://icsstrive.com/incident/spear-phishing-attacks-on-middle-eastern-oil-gas-companies/
Ryuk Ransomware Attack Reported Cost Universal Health Services (UHS) an Estimated $67 Million,09/01/2020,UHS – Universal Health Care System,Ryuk ransomware,,IT,"United Kingdom, United States",https://icsstrive.com/incident/ryuk-ransomware-attack-reported-cost-uhs-67-million/
Brown-Forman Cyber Attack,08/16/2020,Brown-Forman,REvil,,,United States,https://icsstrive.com/incident/brown-forman-cyber-attack/
Carnival Data Breach,08/16/2020,Carnival Corporation,,,,Global,https://icsstrive.com/incident/carnival-data-breach/
Thyssenkrupp System Engineering Group Target of Ransomware Attack,08/11/2020,Thyssenkrupp AG,,Mount Locker,IT,"Canada, United States",https://icsstrive.com/incident/thyssenkrupp-system-engineering-group-target-of-ransomware-attack/
Data Breach at Luxottica’s  Eyemed Vision Affects 820K Patients.,08/05/2020,Luxottica Group S.p.A.,,,IT  Privacy,Italy,https://icsstrive.com/incident/data-breach-at-luxotticas-eyemed-vision-affects-820k-patients/
Konica Minolta hit by RansomEXX,07/30/2020,Konica Minolta,RansomEXX,,IT,Japan,https://icsstrive.com/incident/konica-minolta-hit-by-ransomexx/
Mattel Hit By Ransomware Attack,07/28/2020,Mattel,Unknown ransomware variant,,,United States,https://icsstrive.com/incident/mattel-hit-by-ransomware-attack/
"City of Lafayette, CO Opts to Pay Ransom of $45,000",07/27/2020,City of Lafayette (Colorado),Ransomware – unknown,,IT,United States,https://icsstrive.com/incident/city-of-lafayette-co-opts-to-pay-ransom-of-45000/
Personal Information stolen and extortion attempt to Adif Transportation,07/23/2020,Adif Transportation,REvil,,,Spain,https://icsstrive.com/incident/personal-information-stolen-and-extortion-attempt-to-adif-transportation/
"Hit By Ransomware, University of Utah Decides To Pay",07/19/2020,University of Utah,,,,United States,https://icsstrive.com/incident/hit-by-ransomware-university-of-utah-decides-to-pay/
X-FAB Group Targeted by Cyberattack,07/05/2020,X-FAB,,,IT,"France, Germany, Malaysia, United States",https://icsstrive.com/incident/x-fab-group-targeted-by-cyberattack/
Winnti attack on Covestro,06/19/2020,Covestro,Winnti,Winnti,,Global,https://icsstrive.com/incident/winnti-attack-on-covestro/
Hack on Kawasaki Heavy,06/11/2020,Kawasaki Heavy,,,,Thailand,https://icsstrive.com/incident/hack-on-kawasaki-heavy/
Knoxville Hit By Ransomware Attack,06/11/2020,"City of Knoxville, Tennessee",,,,United States,https://icsstrive.com/incident/knoxville-hit-by-ransomware-attack/
Honda Manufacturing Attack,06/09/2020,Honda,EKANS,,,"Japan, Turkey, United Kingdom of Britain & Northern Ireland, United States",https://icsstrive.com/incident/honda-manufacturing-attack/
"Aussie Brewer, Lion, Production Hit After Ransomware Attack",06/09/2020,Lion,,,,Australia,https://icsstrive.com/incident/aussie-brewer-lion-production-hit-after-ransomware-attack/
Enel Group Internal IT Network Disruption,06/07/2020,Enel Group,"SNAKE, EKANS",,,Europe,https://icsstrive.com/incident/enel-group-internal-it-network-disruption/
Large Amount of Data Leaked after at New Zealand Manufacturer Refused to Pay,06/06/2020,Fisher & Paykel Appliances,,,IT,New Zealand,https://icsstrive.com/incident/large-amount-of-data-leaked-after-at-new-zealand-manufacturer-refused-to-pay/
"Florence, AL, Hit By Ransomware, Decides To Pay",06/05/2020,"Florence, Alabama",DoppelPaymer,,,United States,https://icsstrive.com/incident/florence-al-hit-by-ransomware-decides-to-pay/
Agriculture water pumps attacked,06/01/2020,"Israel Water Authority, Upper Galilee, Israel",,,,Israel,https://icsstrive.com/incident/agriculture-water-pumps-attacked/
Winnti attack on Marriott,06/01/2020,Marriott,Winnti,Winnti,IT,Global,https://icsstrive.com/incident/winnti-attack-on-marriott/
Texas DOT Operations Affected by Ransomware Attack,05/14/2020,Texas Department of Transportation,RansomEXX,,IT,United States,https://icsstrive.com/incident/texas-dot-operations-affected-by-ransomware-attack/
Shahid Rajaee Port Terminal Maratime Attack,05/09/2020,Shahid Rajaee Port Terminal,,Isreal,IT,Iran,https://icsstrive.com/incident/shahid-rajaee-port-terminal-maratime-attack/
2020 Phishing Email Cost  UK Interserve more than £11M,05/08/2020,,,,IT  Privacy,United Kingdom,https://icsstrive.com/incident/2020-cyberattack-cost-uk-interserve-more-than-11m/
Fresenius Kabi Computer Virus,05/06/2020,Fresenius Kabi,SNAKE,,,"Germany, Norway",https://icsstrive.com/incident/fresenius-kabi-computer-virus/
Toll Group Cyber Attack #2,05/05/2020,Toll Group,Netfilim,Russia,,Australia,https://icsstrive.com/incident/toll-group-incident/
"Cloud software provider, Blackbaud, falls victim to ransomware attack",05/01/2020,Blackbaud,,,,United States,https://icsstrive.com/incident/cloud-software-provider-blackbaud-falls-victim-to-ransomware-attack/
PLCs Targeted in Water and Wastewater Facilities Attacks in Israel,04/24/2020,Israel Water Facilities,,,OT,Israel,https://icsstrive.com/incident/plcs-targeted-in-water-infrastructure-attacks-in-israel/
Yashma Wind Park Spear Phishing Attack,04/16/2020,Yashma Wind Park,,STIBNITE,,Azerbaijan,https://icsstrive.com/incident/yashma-wind-park-spear-phishing-attack/
EDP Ransom Attack,04/13/2020,EDP,Ragnar Locker,Ragnarok Group,,Portugal,https://icsstrive.com/incident/edp-ransom-attack/
Magecart attacks Plague the Already Troubled Payment Platform Click2Gov,04/10/2020,Click2Gov,,,IT  Privacy,United States,https://icsstrive.com/incident/magecart-attacks-plague-the-already-troubled-payment-platform-click2gov/
Ransomware affects container shipments of global operations company,04/09/2020,Mediterranean Shipping Company (MSC),,,,Global,https://icsstrive.com/incident/ransomware-affects-container-shipments-of-global-operations-company/
Samsung Data Breach,03/19/2020,Samsung,,,IT,South Korea,https://icsstrive.com/incident/samsung-data-breach/
"Chemical Company, Omnia Holdings, Suffered Cyber Attack",03/12/2020,Omnia Holdings,,,,South Africa,https://icsstrive.com/incident/chemical-company-omnia-holdings-suffered-cyber-attack/
EVRAZ Infection Affects Steel Production Plants Across Canada and the US,03/04/2020,EVRAZ,Ryuk ransomware,,IT,"Canada, United States",https://icsstrive.com/incident/evraz-infection/
"Visser, a parts manufacturer for Tesla and SpaceX, confirms data breach",03/01/2020,Visser Precision,DoppelPaymer,,IT,United States,https://icsstrive.com/incident/visser-a-parts-manufacturer-for-tesla-and-spacex-confirms-data-breach/
KHS Bicycle Shipments Delayed for 2 Days after Cyberattack,02/22/2020,KHS Bicycles,,,,United States,https://icsstrive.com/incident/khs-bicycle-shipments-delayed-for-2-days-after-cyberattack/
"MA Utility, Reading Municipal Light Department, Hit By Ransomware",02/21/2020,Reading Municipal Light Department (RMLD),,,,United States,https://icsstrive.com/incident/ma-utility-reading-municipal-light-department-hit-by-ransomware/
Natural Gas Compression Facility Spearfishing,02/18/2020,Undisclosed – Oil & Gas,,,,United States,https://icsstrive.com/incident/natural-gas-compression-facility-spearfishing/
OT Pipeline Attack Shuts Down Compression Facility,02/18/2020,Unnamed natural gas compression facility,,,,United States,https://icsstrive.com/incident/ot-pipeline-attack-shuts-down-compression-facility/
Emcor IT Systems Attack,02/15/2020,Emcor,,,,Global,https://icsstrive.com/incident/emcor-it-systems-attack/
INA Group Cyber Attack,02/14/2020,INA Group,CLOP,,,Croatia,https://icsstrive.com/incident/ina-group-cyber-attack/
Toll Group has large portion of IT infrastructre taken out by ransomeware attack,01/24/2020,Toll Group,Mailto,,OT,Australia,https://icsstrive.com/incident/toll-group-has-large-portion-of-it-infrastructre-taken-out-by-ransomeware-attack/
German Automotive Parts Manufacturer Hit by Sodinokibi/REvil Ransomware Group,01/21/2020,Gedia Automotive Group,Ransomware – unknown,REvil,IT,Germany,https://icsstrive.com/incident/german-automotive-parts-manufacturer-hit-by-sodinokibi-revil-ransomware-group/
Railworks Data Breach,01/20/2020,Railworks of North America,CLOP,,,United States,https://icsstrive.com/incident/railworks-data-breach/
"Ransomware Bites Defense Manufacturer, Communications & Power Industries",01/15/2020,Communications & Power Industries (CPI),"unknown ransomware, but unsegmented domain",,,United States,https://icsstrive.com/incident/ransomware-bites-defense-manufacturer-communications-power-industries/
Marriott Data Hack Compromised 5.2M Guest Records,01/15/2020,Marriott,,,IT,United States,https://icsstrive.com/incident/marriott-data-hack-compromised-5-2m-guest-records/
Ransomware Attack Shuts Down Production at Loom Manufacturer in Belgium,01/13/2020,Picanol,Ransomware – unknown,,IT,"Belgium, China, Romania",https://icsstrive.com/incident/ransomware-attack-shuts-down-production-at-loom-manufacturer-in-belgium/
"UK Airline, easyJet, Attacked; 9M Records Lost",01/01/2020,easyJet,,,,United Kingdom of Britain & Northern Ireland,https://icsstrive.com/incident/uk-airline-easyjet-attacked-9m-records-lost/
"Airline Hit By Cyber Attack, Cancels Flights",12/22/2019,RavnAir,,,OT IT,United States,https://icsstrive.com/incident/airline-hit-by-cyber-attack-cancels-flights/
Ransomware Hits Trucking Firm,12/20/2019,Truckstop.com,Ransomware – unknown,,,United States,https://icsstrive.com/incident/ransomware-hits-trucking-firm/
Ryuk causes facility shutdown,12/16/2019,,Ryuk ransomware,,,United States,https://icsstrive.com/incident/ryuk-causes-facility-shutdown/
Ransomware Takes Down Maritime Facility,12/16/2019,Maritime Transportation Security Act (MTSA) regulated facility,Ryuk ransomware,,,United States,https://icsstrive.com/incident/ransomware-takes-down-maritime-facility/
Ransomware takes out Multiple PC Board  facilities,12/13/2019,Prototron Circuits,,,,United States,https://icsstrive.com/incident/ransomware-takes-out-multiple-pc-board-facilities/
"Colorado County Pays $300,000 Ransom after Virus Hits Computer Systems",11/23/2019,"Archuleta County, CO",Ransomware – unknown,,IT,United States,https://icsstrive.com/incident/colorado-county-computer-systems-hit-with-virus-pays-300000-ransom/
"Town of Erie, CO Loses over $1M in Business Email Compromise Scam.",11/13/2019,"Town of Erie, CO",,,,United States,https://icsstrive.com/incident/town-of-erie-co-loses-over-1m-in-business-email-compromise-scam/
Pemex Ransomware Attack,11/10/2019,Pemex,DoppelPaymer,Joseph Atkins,,Mexico,https://icsstrive.com/incident/pemex-ransomware-attack/
India Nuke Hit By Malware,10/29/2019,Kudankulam Nuclear Power Plant (KKNPP),,,,India,https://icsstrive.com/incident/india-nuke-hit-by-malware/
"Ransomware Attack: Automation Supplier, Pilz, Down",10/13/2019,Pilz,,,,Germany,https://icsstrive.com/incident/ransomware-attack-automation-supplier-pilz-down/
NC Water authority hit with Ryuk Ransomware,10/10/2019,Onslow Water and Sewer Authority (ONWASA),Ryuk ransomware,,IT,United States,https://icsstrive.com/incident/water-authority-hit-with-ryuk-ransomeware/
Malware Attack Disrupts Multiple Sites of Rheinmetal AG Causing Shares to Drop,09/27/2019,Rheinmetall AG,,,IT,Germany,https://icsstrive.com/incident/malware-attack-disrupts-multiple-sites-of-rheinmetal-ag-causing-shares-to-drop/
Colorado Water Utility Customer Data Compromised by Data Breach at Payment Vendor Click2Gov,09/15/2019,"Click2Gov, Aurora City Water Utility Administration Department, CO",,,IT  Privacy,United States,https://icsstrive.com/incident/colorado-water-utility-customer-data-compromised-by-data-breach-at-payment-vendor-click2gov/
Colorado Private University Campus Systems Down after Ransomware Attack,08/18/2019,"Regis University, CO",Ransomware – unknown,,IT,United States,https://icsstrive.com/incident/colorado-private-university-campus-systems-down-after-ransomware-attack/
"Ransomware Attack at Electricity Provider for Johannesburg, SA",07/25/2019,"City Power, Johannesburg",Ransomware – unknown,,IT,South Africa,https://icsstrive.com/incident/ransomware-attack-at-electricity-provider-for-johannesburg-sa/
Attack on deep-draft vessel bound for the Port of New York,07/09/2019,Port of New York,,,,United States,https://icsstrive.com/incident/deep-draft-vessel-bound-for-the-port-of-new-york/
Winnti malware infection,06/01/2019,Covestro,Winnti,Winnti,,Global,https://icsstrive.com/incident/winnti-malware-infection/
Norsk Hydro Production lines stopped,05/18/2019,Norsk Hydro,Lockergoga,,OT,Norway,https://icsstrive.com/incident/production-lines-stopped/
"Ellsworth County, KS Rural Water District Attacked",03/27/2019,Ellsworth County Rural Water District,,Wyatt A. Travnichek,,United States,https://icsstrive.com/incident/ellsworth-county-rural-water-district-attacked/
Hexion/Momentive Global IT Outage,03/12/2019,Hexion / Momentive,Lockergoga,,,"Global, United States",https://icsstrive.com/incident/hexion-momentive-global-it-outage/
sPower CyberAttack,03/05/2019,sPower,,,,United States,https://icsstrive.com/incident/spower-cyberattack/
Colorado Water and Sanitation District Locked Out of Engineering Data and Drawings,02/11/2019,Fort Collins Water & Fort Collins Sanitation District,Ransomware – unknown,,IT,United States,https://icsstrive.com/incident/colorado-water-and-sanitation-district-locked-out-of-engineering-data-and-drawings/
Altran Technologies IT Shutdown,01/24/2019,Altran Technologies,Lockergoga,,,France,https://icsstrive.com/incident/altran-technologies/
Nyrstar Ransomware Attack,01/22/2019,Nyrstar,,,,Belgium,https://icsstrive.com/incident/nyrstar-ransomware-attack/
US Natural Gas Compression Facility Shut Down Entire Pipeline for 2 Days,01/01/2019,Unidentified Natural Gas Facility,,,IT,United States,https://icsstrive.com/incident/us-natural-gas-compression-facility-shut-down-entire-pipeline-for-2-days/
Personal Information stolen and extortion attempt to Austal Transportation,11/01/2018,Austal,,,,Australia,https://icsstrive.com/incident/personal-information-stolen-and-extortion-attempt-to-austal-transportation/
Port of San Diego Maritime Event,09/25/2018,Port of San Diego,,,,United States,https://icsstrive.com/incident/port-of-san-diego-maritime-event/
Port of Barcelona Maritime Incident,09/20/2018,Port of Barcelona,,,,Spain,https://icsstrive.com/incident/port-of-barcelona-maritime-incident/
Italian Home Appliance Manufacturer Smeg Shuts Down Systems after Cyberattack,09/12/2018,Smeg,,,,Italy,https://icsstrive.com/incident/italian-home-appliance-manufacturer-smeg-shuts-down-systems-after-cyberattack/
Roadrunner Transportation Systems,09/07/2018,Roadrunner Transportation Systems,,Joseph Atkins,,United States,https://icsstrive.com/incident/roadrunner-transportation-systems/
TSMC Hit by WannaCry Variant,08/03/2018,TSMC (Taiwan Semiconductor Manufacturing Company),WannaCry,,OT IT,Taiwan,https://icsstrive.com/incident/tsmc-hit-by-wannacry-variant/
China Ocean Shipping Company Terminal Maritime Incident,07/24/2018,China Ocean Shipping Company Terminal,,,,United States,https://icsstrive.com/incident/china-ocean-shipping-company-terminal-maritime-incident/
"Bay & Bay, a MN medium-sized Trucking Company, Pays “Five-Figure” Ransom",07/12/2018,Bay & Bay Transportation,SamSam,,IT,United States,https://icsstrive.com/incident/7335/
Boeing Hit by Wannacry,03/28/2018,Boeing,WannaCry,,OT IT,United States,https://icsstrive.com/incident/boeing-hit-by-wannacry/
"Ransomware Attack Shuts Down City of Atlanta, GA,",03/22/2018,City of Atlanta,SamSam,,IT,United States,https://icsstrive.com/incident/ransomware-attack-shuts-down-city-of-atlanta-ga/
SamSam Ransomware Takes Down Colorado DOT,02/21/2018,Colorado Department of Transportation,SamSam,,IT,United States,https://icsstrive.com/incident/samsam-ransomware-takes-down-colorado-dot/
Winnti attack on BASF,01/01/2018,BASF,Winnti,Winnti,,Germany,https://icsstrive.com/incident/winnti-attack-on-basf/
Winnti attack on Siemens,01/01/2018,Seimens,Winnti,Winnti,,Germany,https://icsstrive.com/incident/winnti-attack-on-siemens/
Winnti attack on Henkel,01/01/2018,Henkel,Winnti,Winnti,,Germany,https://icsstrive.com/incident/winnti-attack-on-henkel/
Winnti attack on Roche,01/01/2018,Roche,Winnti,Winnti,,Switzerland,https://icsstrive.com/incident/winnti-attack-on-roche/
Winnti attack on Shin-Etsu,01/01/2018,Shin-Etsu,Winnti,Winnti,,Japan,https://icsstrive.com/incident/winnti-attack-on-shin-etsu/
Winnti attack on Sumitomo,01/01/2018,Sumitomo,Winnti,Winnti,,Japan,https://icsstrive.com/incident/winnti-attack-on-sumitomo/
Winnti attack on Lion Air,01/01/2018,Lion Air,Winnti,Winnti,,Indonesia,https://icsstrive.com/incident/winnti-attack-on-lion-air/
Winnti attack on Valve,01/01/2018,Valve,Winnti,Winnti,,United States,https://icsstrive.com/incident/winnti-attack-on-valve/
Hackers Hit Nuance Communications Again 6 Months After NotPetya,12/16/2017,Nuance Communications,,,IT,United States,https://icsstrive.com/incident/hackers-hit-nuance-communications-again-6-months-after-notpetya/
Merck Ransomware Attack,09/27/2017,Merck,NotPetya,Russian Main Intelligence Directorate (GRU),IT,Global,https://icsstrive.com/incident/merck-ransomware-attack/
Mondelez Ransomware Attack,09/27/2017,Mondelez,NotPetya,,IT,"Global, United Kingdom",https://icsstrive.com/incident/mondelez-ransomware-attack/
Safety Instrumented System Disabled by Triton Malware,08/01/2017,"Saudi Aramco, Rabigh Refining & Petrochemical Company",Triton,"Central Scientific Research Institute of Chemistry and Mechanics (CNIIHM), Russia",OT,Saudi Arabia,https://icsstrive.com/incident/safety-instrumented-system-is-disabled-by-malware/
Maersk Ransomware Attack,06/27/2017,Maersk,NotPetya,Russia,IT,"Global, United States",https://icsstrive.com/incident/maersk-ransomware-attack/
Nuance Communications Cyberattack Results in $98M Revenue Loss,06/27/2017,Nuance Communications,NotPetya,,IT,United States,https://icsstrive.com/incident/nuance-communications-cyberattack-results-in-98m-revenue-loss/
FedEx TNT Global Operations Disrupted by NotPetya Attack,06/27/2017,FedEx,NotPetya,,IT,Global,https://icsstrive.com/incident/fedex-tnt-global-operations-disrupted-by-notpetya-attack/
"Saint-Gobain, a Major European Building Supply Maker Suffers NotPetya Cyberattack",06/27/2017,Compagnie de Saint-Gobain S.A.,NotPetya,,IT,"France, Global",https://icsstrive.com/incident/saint-gobain-a-major-european-building-supply-maker-suffers-notpetya-cyberattack/
"Nivea’s parent company, Beiersdorf, Target of NotPetya Attack",06/27/2017,Beiersdorf,NotPetya,,IT,"Germany, Global",https://icsstrive.com/incident/niveas-parent-company-beiersdorf-target-of-notpetya-attack/
Household Products Giant Reckitt Benckiser Attacked by NotPetya,06/27/2017,Reckitt Benckiser Group plc,NotPetya,,IT,"Netherlands, United Kingdom",https://icsstrive.com/incident/household-products-giant-reckitt-benckiser-attacked-by-notpetya/
Britain’s Ad Agency WPP Hit by a Cyberattack,06/27/2017,WPP plc,NotPetya,,IT,United Kingdom,https://icsstrive.com/incident/britains-wpp-worlds-biggest-advertising-agency-hit-by-a-cyberattack/
Petya Ransomware Attack Affects Operations at Terminal of India’s Largest Container Port JNPT,06/27/2017,Jawaharlal Nehru Port Container Terminal (JNPCT – JNPT),NotPetya,,IT,India,https://icsstrive.com/incident/petya-ransomware-attack-affects-operations-at-terminal-of-indias-largest-container-port-jnpt/
Wannacry Affects Operations at Several Renault Plants,05/12/2017,Renault-Nissan,WannaCry,,OT,"France, Global, India, Romania, Slovenia",https://icsstrive.com/incident/wannacry-affects-operations-at-several-renault-plants/
AW North Carolina Hit in Ransomware Attack,04/01/2017,AW North Carolina,,,,United States,https://icsstrive.com/incident/aw-north-carolina-hit-in-ransomware-attack/
Cyberattack Source of Widespread Electricity Cuts Across Istanbul,12/30/2016,"City of Istanbul, Turkey",,,IT,Turkey,https://icsstrive.com/incident/cyberattack-source-of-widespread-electricity-cuts-across-istanbul/
Attack on Kyiv Power Substation Shut Down Remote Terminals,12/17/2016,Pivnichna Power Transmission Facility,,,IT,Ukraine,https://icsstrive.com/incident/attack-on-kyiv-power-substation-shut-down-remote-terminals/
Ukrainian Railway Company Ukrzaliznytsia Hit by Cyberattack,12/13/2016,Ukrzaliznytsia,,Sandworm,,Ukraine,https://icsstrive.com/incident/ukrainian-railway-company-ukrzaliznytsia-hit-by-cyberattack/
San Francisco Municipal Transportation Agency Hit by Ransomware,11/26/2016,San Francisco Municipal Transportation Agency – SFMTA,,,IT,United States,https://icsstrive.com/incident/san-francisco-municipal-transportation-agency-hit-by-ransomware/
Ransomware Attack at AW North Carolina Shuts down Operations for 4 Hours,08/16/2016,AW North Carolina,,,OT IT,United States,https://icsstrive.com/incident/ransomware-attack-at-aw-north-carolina-shuts-down-operations-for-4-hours/
German Nuke Infected with Malware,04/26/2016,Gundremmingen plant run by the German utility RWE.,"W32.Ramnit, Conficker",,OT IT,Germany,https://icsstrive.com/incident/3477/
"Lansing, MI, Public Utility Compromised by Attack, $25K Ransom paid.",04/25/2016,Lansing Board of Water & Light (BWL),,,IT,United States,https://icsstrive.com/incident/lansing-mi-public-utility-compromised-by-attack-25k-ransom-paid/
Hackers Manipulated Water Supply at Unnamed Water District – ‘Kemuri’.,03/15/2016,“Kemuri” Water company – KWC,,,OT IT,United States,https://icsstrive.com/incident/hackers-manipulated-water-supply-at-unnamed-water-district-kemuri/
Thyssenkrupp Technical Trade Secrets Stolen,02/16/2016,Thyssenkrupp AG,,,IT,Germany,https://icsstrive.com/incident/thyssenkrupp-systems-hacked-to-steal-technical-trade-secrets/
Major Aircraft Component Manufacturer Scammed out of $50Million,01/15/2016,Fischer Advanced Composite Components AG (FACC),Phishing Attack,,IT,Austria,https://icsstrive.com/incident/major-aircraft-component-manufacturer-scammed-out-of-50million/
Hackers cause power outages to close to 1/4 million people,12/23/2015,Ukrainian Kyivoblenergo,,Russian Security Services,,,https://icsstrive.com/incident/hackers-cause-power-outages-to-close-to-1-4-million-people/
225K Customers Without Power in Ukraine Power Grid Hack,12/23/2015,Ukrenergo – Ukrainian power company,,,OT,Ukraine,https://icsstrive.com/incident/225k-customers-without-power-in-ukraine-power-grid-hack/
United Hack Connects To Attack Group,05/29/2015,United Airlines,,Black Vine,IT,United States,https://icsstrive.com/incident/united-hack-connects-to-attack-group/
Sellafield Nuclear Waste Facility in UK Pleads Guilty; Insists There Never has been a Successful Cyberattack,05/29/2015,Sellafield,,,IT,United Kingdom,https://icsstrive.com/incident/sellafield-nuclear-waste-facility-in-uk-pleads-guilty-insists-there-never-has-been-a-successful-cyberattack/
Attempted Cover-Up of Sewage Spillage,01/01/2015,,,,,Australia,https://icsstrive.com/incident/attempted-cover-up-of-sewage-spillage/
Cyber attack at German Steel Mill damages equipment,12/22/2014,German Steel Mill,,,OT IT,Germany,https://icsstrive.com/incident/cyber-attack-at-german-steel-mill-damages-equipment/
Marriott System Breach Undetected for 4 Years (2014 to 2018),05/31/2014,Marriott,,,IT,United Kingdom,https://icsstrive.com/incident/marriott-system-breach-undetected-for-4-years-2014-to-2018/
Target Suffers Largest Retail Data Breach in U.S. History.,11/15/2013,,,,IT  Privacy,United States,https://icsstrive.com/incident/target-suffers-largest-retail-data-breach-in-u-s-history/
OT Attack on Bowman Avenue Dam Illustrates Vulnerability of the U.S. Infrastructure,06/01/2013,"Bowman Avenue Dam, NY",,Iran,IT,United States,https://icsstrive.com/incident/ot-attack-on-bowman-avenue-dam-illustrates-vulnerability-of-the-u-s-infrastructure/
"Poughkeepsie, NY, Utility Hacked",02/19/2013,Central Hudson Gas & Electric,,,IT,United States,https://icsstrive.com/incident/poughkeepsie-ny-utility-hacked/
FL Utility Suffers DDoS,02/17/2013,JEA,,,IT,United States,https://icsstrive.com/incident/fl-utility-suffers-ddos/
Security Firm Hacked,02/01/2013,Bit9,,,IT,United States,https://icsstrive.com/incident/security-firm-hacked/
"30,000 Hard drives wiped by virus",01/01/2013,Saudi Aramco,Shamoon,Cutting Sword of Justice,,Middle East,https://icsstrive.com/incident/30000-hard-drives-wiped-by-virus/
Virun Infection in turbo Control System at US Electric Utility,10/01/2012,Unidentified,,,OT IT,United States,https://icsstrive.com/incident/virun-infection-in-turbo-control-system-at-us-electric-utility/
Iranian Oil Terminal offline after malware attack,04/22/2012,,Flame,,,Iran,https://icsstrive.com/incident/iranian-oil-terminal-offline-after-malware-attack/
Computer Glitch Causes shutdown of 2 Amusement Park Rides,01/01/2012,,,,,United States,https://icsstrive.com/incident/computer-glitch-causes-shutdown-of-2-amusement-park-rides/
Natanz and Fordo Facilities closed down  “Automation Network” after New Worm Targeted Iran’s Nuclear Program,07/01/2010,"Natanz Nuclear Facility, Fordow Fuel Enrichment Plant",,,IT,Iran,https://icsstrive.com/incident/natanz-and-fordo-facilities-closed-down-automation-network-after-new-worm-targeted-irans-nuclear-program/
Stuxnet Malware Targets Uranium Enrichment Facility,06/01/2010,Natanz Nuclear Facility,Stuxnet,"United States, Isreal",OT IT,Iran,https://icsstrive.com/incident/malware-targets-uranium-enrichment-facility/
Theft of Intellectual Property at Volkswagen Took Place over Several Years.,01/01/2010,Volkswagen,,,IT,Germany,https://icsstrive.com/incident/theft-of-intellectual-property-at-volkswagen-took-place-over-several-years/
Faulty Software Causes Torrens Lake Drain,01/01/2009,,,,,Australia,https://icsstrive.com/incident/faulty-software-causes-torrens-lake-drain/
Computer Glitch Floods Neighborhood,01/01/2009,,,,,United States,https://icsstrive.com/incident/computer-glitch-floods-neighborhood/
